"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"VNE-Greedy: Virtual Network Embedding Algorithm Based on OpenStack Cloud Computing Platform","S. Karmoshi; A. Hawbani; A. Ghannami; S. Mohammed; M. Zhu","NA; NA; NA; NA; NA","2016 6th International Conference on Digital Home (ICDH)","","2016","","","143","149","A new approach to implementation of the virtual network embedding strategy over OpenStack cloud platform presented. We presented the OpenStack cloud platform and the problems associated with virtual network embedding. Then, conduct OpenStack dashboard customization to generate virtual network requests to process these requests. We modified OpenStack Compute module to provide bandwidth limitation for the virtual network requests, as well as modification of the data structure used between the OpenStack Horizon and Nova modules, implementing virtual network embedded algorithm (VNE-Greedy) on the top of OpenStack cloud platform.","","978-1-5090-4400-9978-1-5090-4401","10.1109/ICDH.2016.039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8039098","cloud computing;OpenStack;VNE;VM;GUI;resource allocation","Substrates;Cloud computing;Resource management;Bandwidth;Measurement;Data structures;Algorithm design and analysis","cloud computing;resource allocation;virtualisation","virtual network embedding algorithm;OpenStack cloud computing platform;VNE-Greedy;OpenStack dashboard customization;data structure modification;OpenStack Horizon;Nova modules;resource allocation","","1","","10","","","","","","IEEE","IEEE Conferences"
"RBioCloud: A Light-Weight Framework for Bioconductor and R-based Jobs on the Cloud","B. Varghese; I. Patel; A. Barker","School of Computer Science, University of St Andrews, Fife, United Kingdom; IBM Canada Ltd, Markham, ON L3R 9Z7, Canada; School of Computer Science, University of St Andrews, Fife, United Kingdom","IEEE/ACM Transactions on Computational Biology and Bioinformatics","","2015","12","4","871","878","Large-scale ad hoc analytics of genomic data is popular using the R-programming language supported by over 700 software packages provided by Bioconductor. More recently, analytical jobs are benefitting from on-demand computing and storage, their scalability and their low maintenance cost, all of which are offered by the cloud. While biologists and bioinformaticists can take an analytical job and execute it on their personal workstations, it remains challenging to seamlessly execute the job on the cloud infrastructure without extensive knowledge of the cloud dashboard. How analytical jobs can not only with minimum effort be executed on the cloud, but also how both the resources and data required by the job can be managed is explored in this paper. An open-source light-weight framework for executing R-scripts using Bioconductor packages, referred to as `RBioCloud', is designed and developed. RBioCloud offers a set of simple command-line tools for managing the cloud resources, the data and the execution of the job. Three biological test cases validate the feasibility of RBioCloud.","1545-5963;1557-9964;2374-0043","","10.1109/TCBB.2014.2361327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915694","Cloud computing;R programming;Bioconductor;Amazon Web Services;Data analytics;Cloud computing;R programming;Bioconductor;Amazon web services;data analytics","Bioinformatics;Genomics;Computational biology;Probes;Workstations","bioinformatics;cloud computing;genomics;public domain software;software packages","RBioCloud;R-based jobs;large-scale analytics;hoc analytics;genomic data;R-programming language;software packages;on-demand computing;on-demand storage;personal workstations;cloud dashboard;open-source light-weight framework;Bioconductor packages;command-line tools;cloud resources;biological test","Cloud Computing;Computational Biology;Gene Expression Profiling;Humans;Internet;Programming Languages;Software","1","","39","","","","","","IEEE","IEEE Journals & Magazines"
"A Mobile Personal Residential Electricity Dashboard","M. Apperley; J. Kalyan","NA; NA","2015 19th International Conference on Information Visualisation","","2015","","","195","199","The growing use of smart electricity meters means that real-time information relating to residential electricity consumption is readily available. The globally recognized need to manage and improve the efficiency of our use of electricity, and the need in most jurisdictions to increase the integration and utilization of non-dispatchable renewable energy sources, provides a strong motivation for individuals to be aware of their electricity consumption in real-time, and to manage that consumption according to need (imperative, background or discretionary activities) and availability of energy. This paper describes the development and preliminary evaluation of a dashboard-like display, implemented on a mobile platform (phone or tablet), which provides both an instant overview and awareness of consumption and availability, and facility to drill down to determine detail, and potentially to control individual appliances.","1550-6037;2375-0138","978-1-4673-7568-9978-1-4673-7567","10.1109/iV.2015.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7272601","mobile dashboard display;residential electricity monitoring","Real-time systems;Visualization;Home appliances;Mobile communication;Prototypes;Monitoring;Energy consumption","mobile computing;power consumption;public utilities;smart meters","mobile personal residential electricity dashboard;smart electricity meters;residential electricity consumption;nondispatchable renewable energy sources;dashboard-like display","","","","26","","","","","","IEEE","IEEE Conferences"
"Awareness 2.0: staying aware of projects, developers and tasks using dashboards and feeds","C. Treude; M. Storey","University of Victoria; University of Victoria","2010 ACM/IEEE 32nd International Conference on Software Engineering","","2010","1","","365","374","Software development teams need to maintain awareness of various different aspects ranging from overall project status and process bottlenecks to current tasks and incoming artifacts. Currently, there is a lack of theoretical foundations to guide tool selection and tool design to best support awareness tasks. In this paper, we explore how the combination of highly configurable project, team and contributor dashboards along with individual event feeds is used to accomplish extensive awareness. Our results stem from an empirical study of several large development teams, with a detailed study of a team of 150 developers and additional data from another four project teams. We present how dashboards become pivotal to task prioritization in critical project phases and how they stir competition while feeds are used for short term planning. Our findings indicate that the distinction between high-level and low-level awareness is often unclear and that integrated tooling could improve development practices.","1558-1225;0270-5257","978-1-60558-719","10.1145/1806799.1806854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062104","Web 2.0;awareness;collaboration;dashboards;feeds","Feeds;Programming;Software;Interviews;Collaborative software;Industries","software engineering","software development;dashboards;project status;process bottlenecks;event feeds;project teams;task prioritization;critical project phases","","19","","25","","","","","","IEEE","IEEE Conferences"
"Horizon, a Web-Based User Interface for Managing Services in OpenStack: An Introspection","A. Lingayat; A. Singh; V. Naik; R. R. Badre; A. K. Gupta","Computer Engineering, MIT Academy of Engineering, Pune, India; Computer Engineering, MIT Academy of Engineering, Pune, India; Computer Engineering, MIT Academy of Engineering, Pune, India; Computer Engineering, MIT Academy of Engineering, Pune, India; HPC Infrastructure and Ecosystems, C-DAC, Innovation Park, Pune, India","2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","","2018","","","1","6","Cloud computing, an emerging technology in today's world is making a significant impact on sharing resources. An open-source platform OpenStack used for provisioning cloud environment is gaining tremendous popularity. OpenStack introduces independent projects developed for providing specific services in the cloud. These services interact with each other to act as one cloud environment. The services are managed using commands and require knowledge of their usage. To make the management of the services more convenient OpenStack has designed and developed a user interface based project called Horizon. It is a web-based interface which interacts with other services to make them configurable and manageable through a dashboard. In this paper, we will discuss the present scenario of the services interacting with Horizon.","","978-1-5386-4430-0978-1-5386-4429-4978-1-5386-4431","10.1109/ICCCNT.2018.8493661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493661","Cloud computing;OpenStack;Horizon;User interface","Cloud computing;Containers;Tools;Standards;Software;Heating systems;User interfaces","cloud computing;public domain software;user interfaces","Horizon;web-based user interface;cloud computing;open-source platform OpenStack;cloud environment","","","","13","","","","","","IEEE","IEEE Conferences"
"Customer Scenario Focused End-to-End Testing","C. Liang; A. Malatpure; M. Shafiei; M. Vago; T. Zheng","NA; NA; NA; NA; NA","2012 IEEE 23rd International Symposium on Software Reliability Engineering Workshops","","2012","","","80","81","End to end testing is critical for ensuring the quality of a software product. Popular software products are deployed by customers in a wide variety of configurations over a broad range of hardware. Testing efforts, being subject to normal business constraints (limited time and resources) do not find it possible to recreate all customer scenarios in-house. In such a situation, it is valuable to understand how to model a wide range of customer scenarios so that their shared elements and unique traits can be distinguished from each other. Given such a modeling approach, it is necessary to know how to build a testing infrastructure that can utilize traditional functional tests, but reorient them in a way that provides high customer scenario coverage at optimal cost. In this paper, we model customer scenarios from the perspective of the services they enable. Services typically have multiple categories of users, with each category expecting the service to provide functionality catering to its unique requirements. This setup is modeled in our approach by using the 'Persona -- Experience - Usecase' hierarchy. Persona refers to the different categories of users that utilize a service. Experience refers to the user experiences that each user category expects from the service. Usecases clarify the specific requirements of the distinct functionality expected by each user category. Using such a persona-experience-usecase hierarchy to model customer scenarios helps demarcate requirements common to multiple scenarios from those that are specific to certain deployments. We create the scenario test model to test the corresponding experiences and usecases for different personas. The test model consists of topologies and schemas. A test topology helps capture the uniqueness associated with each scenario. It is further split into 2 parts viz. roles (that capture the various software settings associated with the customer scenario) and configurations (that capture the hardware setup, a.k.a. machine-network-storage combination associated with the customer scenario). A test schema captures the test activities related to the customer scenarios. It consists of 'action groups', with each action group being associated with a usecase for the customer scenario. Thus the 'Persona - Experience - Usecase' hierarchy in customer scenario modeling broadly corresponds to the 'Test Scenario - Topology, TestSchema - Roles, Configurations, Action Groups' hierarchy in the test object model. Multi-functional, service oriented customer scenarios require that core experiences associated with each persona continue to be met during the different states of the service. We have used the concept of 'Service Level Agreements (SLAs)' to capture such core experiences to validate their continued satisfaction. Most real-world customer deployments are susceptible to hardware and software faults. We have explicitly added faults (both hardware and software) to our object model to test service resiliency under such conditions. In a customer scenario, SLAs and faults are typically associated with usecases. We have used a similar association in the test object model to compose action groups from 3 sources viz. user actions, faults and user SLAs. We implemented the proposed approach in the development cycle for Windows Server 2012. The implementation manifested as a testing infrastructure with four major components namely: deployment creator, test scheduler, monitoring system and reporting dashboard. A flexible deployment creator configured different test topologies (i.e. fileserver, high availability clustering, networking and storage variations). Action groups consisted of traditional functional tests, specially written SLA tests and simulated hardware, software faults. A smart stochastic scheduler coordinated these action groups and was used to simulate persona-experience patterns. A monitoring system gathered 2 distinct types of information, viz.: action group success status and system health indicators. Finally a rich reporting dashboard was used to overlay this information in a continuous time graph for quality assurance and issue triage. The above testing infrastructure enabled us to find issues that had been missed in traditional functional and stress tests. We targeted multiple customer scenarios and found a good mix of issues spanning different features in the software. These results increase our confidence in this approach and we propose to evolve it further going forward.","","978-1-4673-5048-8978-0-7695-4928","10.1109/ISSREW.2012.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405421","end to end testing;system testing;scenario testing;software testing;customer scenario modeling","Software;Testing;Hardware;Topology;Network topology;Monitoring;Abstracts","program testing;software quality;software reliability","end-to-end testing;software product;persona-experience-usecase hierarchy;scenario test model;action group;test object model;multifunctional customer scenario;service oriented customer scenario;service level agreement;SLA;deployment creator;test scheduler;monitoring system;reporting dashboard;continuous time graph","","","","","","","","","","IEEE","IEEE Conferences"
"A Dashboard for Microservice Monitoring and Management","B. Mayer; R. Weinreich","NA; NA","2017 IEEE International Conference on Software Architecture Workshops (ICSAW)","","2017","","","66","69","We present an experimental dashboard for microservice monitoring and management. The dashboard can be adapted to different stakeholder needs and it supports the integration of different monitoring infrastructures for collecting microservice runtime data. Aside from runtime information, the dashboard also supports the integration of other information sources for providing static information about microservices and microservice development. We describe the main motivation for developing the dashboard, explain the basic concepts and present important usage scenarios and views currently supported in the dashboard.","","978-1-5090-4793-2978-1-5090-4794","10.1109/ICSAW.2017.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958458","Microservices;microservice monitoring;microservice management;microservice dashboard","Conferences;Software architecture","data acquisition;data integration;service-oriented architecture;system monitoring","microservice monitoring;experimental dashboard;microservice management;monitoring infrastructures;microservice runtime data collection;information sources;microservice development","","3","","8","","","","","","IEEE","IEEE Conferences"
"A data-driven analytics approach in the study of pneumonia's fatalities","M. Y. Santos; A. Carvalheira; A. T. de Araújo","ALGORITMI Research Centre, Dept. of Information Systems, University of Minho, Guimarães, Portugal; Portuguese Lung Foundation, Fundaçâo Portuguesa do Pulmâo Lisboa, Portugal; Portuguese Lung Foundation, Fundaçâo Portuguesa do Pulmâo Lisboa, Portugal","2015 IEEE International Conference on Data Science and Advanced Analytics (DSAA)","","2015","","","1","10","As huge amounts of data become available in organizations and society, specific data analytics skills and techniques are needed to explore this data and extract from it useful patterns, tendencies, models or other useful knowledge, which could be used to support the decision-making process, to define new strategies or to understand what is happening in a specific field. Only with a deep understanding of a phenomenon it is possible to fight it. In this paper, a data-driven analytics approach is used for the analysis of the increasing incidence of fatalities by pneumonia in the Portuguese population, characterizing the disease and its incidence in terms of fatalities, knowledge that can be used to define appropriate strategies that can aim to reduce this phenomenon, which has increased more than 65% in a decade.","","978-1-4673-8272","10.1109/DSAA.2015.7344868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344868","data-driven analytics;pneumonia;dashboards;data exploration;data analysis","Diseases;Lungs;Data analysis;Hospitals;Data mining;Data warehouses","data analysis;decision making;diseases;medical computing","data-driven analytics approach;pneumonia fatalities;data analytics skills;decision-making process;Portuguese population","","1","","11","","","","","","IEEE","IEEE Conferences"
"Dashboard - a novel approach to re-find information in a website through building personalized navigational menus","P. Biswas; M. Debnath; S. Ghosh; S. Rahim; A. Mahamud; N. Chowdhury","Department of Computer Science, University of Texas at San Antonio, One UTSA Circle - SA, 78249 USA; System Developer, Cention AB, Shyamoli, Dhaka, Bangladesh; System Developer, Cention AB, Shyamoli, Dhaka, Bangladesh; IT Specialist, Bangladesh Jute Research Institute, Dhaka, Bangladesh; Software Engineer, KAZ IT Limited, Dhaka, Bangladesh; Grameenphone Ltd, Dhaka, Bangladesh","14th International Conference on Computer and Information Technology (ICCIT 2011)","","2011","","","173","178","Re-visitation or re-finding information in a website is a very frequent activity in web browsing. When a user re-visits a website especially after a long time, she encounters some problems among which being oblivious about the information structure of the site is very prominent. Another problem is that in a website, users have no way to organize the information space or the navigational structure of the website. In this paper, we have proposed a novel approach named Dashboard which supports building custom navigational menus system and allows each user build her own hierarchical information structure. We have also demonstrated how this new approach helps quickly re-finding information on re-visitation of a website.","","978-1-61284-908-9978-1-61284-907-2978-1-61284-906","10.1109/ICCITechn.2011.6164778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6164778","Human Computer Interaction;Personalization;Re-visitation;Web Navigation","Engines;Navigation","human computer interaction;information retrieval;Web sites","Dashboard;information refinding;Website;personalized navigational menus;information revisitation;Web browsing;navigational structure;hierarchical information structure","","","","17","","","","","","IEEE","IEEE Conferences"
"Operational dashboard implementation for a family taxi business company","F. Freitas; B. Alturas","Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR-IUL Lisboa, Portugal","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","","2018","","","1","6","This article describes a project that aimed to implement an operational dashboard to improve the management of a family-run taxi company. In the day-to-day life of the company, it lacked an operational tool that allowed a clear and integrated vision of the Taxi daily activity and that could be the driver for a quick decision-making, with the goal of improving the efficiency and effectiveness of the company, obtain higher productivity and less operating costs. No additional monetary investment was intended. The solution chosen is based on Google Forms for collecting data by the taxi driver, which is later recorded on Google Drive cloud. This up-to-date information is accessed in real time by a dynamic Microsoft Excel link using Power Query, being the final dashboard located in a refreshable Excel file hosted by Google Drive cloud service.","","978-989-98434-8-6978-1-5386-4885","10.23919/CISTI.2018.8399315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399315","Dashboard;Business Intelligence;Business Analytics;Management;Cloud;Information","Google;Business intelligence;Cloud computing;Public transportation;Companies;Visualization","business data processing;cloud computing;data analysis;decision making;investment","clear vision;integrated vision;quick decision-making;operating costs;additional monetary investment;Google Forms;taxi driver;final dashboard;Google Drive cloud service;operational dashboard implementation;family taxi business company;operational tool;family-run taxi company;up-to-date information;Microsoft Excel link;Power Query;refreshable Excel","","","","","","","","","","IEEE","IEEE Conferences"
