Authors,Title,Year,Source title,DOI,Link,Document Type,Source
"Mohan R., Narayanan R., Al Yazeedi H., Al Naqbi T., Willems M., Escorcia A., Saputelli L., Abdulla N., Gioria G.M.","Integrated data analytics and visualization for reservoir and production performance management",2019,"Society of Petroleum Engineers - Abu Dhabi International Petroleum Exhibition and Conference 2018, ADIPEC 2018",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059990483&partnerID=40&md5=815ae99967fb8ad4e3667806c7280108",Conference Paper,Scopus
"Reyes F., Fuertes W., Tapia F., Toulkeridis T., Aules H., Pérez E.","A BI solution to identify vulnerabilities and detect real-time cyber-attacks for an academic CSIRT",2019,"Advances in Intelligent Systems and Computing","10.1007/978-3-030-01177-2_82","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057073115&doi=10.1007%2f978-3-030-01177-2_82&partnerID=40&md5=28302a6c0ae2288101eb12c89e200160",Conference Paper,Scopus
"Delpish R., Jiang S., Davis L., Odubela K.","A visual analytics approach to combat confirmation bias for a local food bank",2019,"Advances in Intelligent Systems and Computing","10.1007/978-3-319-94391-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049378045&doi=10.1007%2f978-3-319-94391-6_2&partnerID=40&md5=9f5ed6fb3293fedd95f59df00e916d66",Conference Paper,Scopus
"Nixon L., Apostolidis E., Markatopoulou F., Patras I., Mezaris V.","Multimodal Video Annotation for Retrieval and Discovery of Newsworthy Video in a News Verification Scenario",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-030-05710-7_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059859193&doi=10.1007%2f978-3-030-05710-7_12&partnerID=40&md5=16c2ee00b60b97b035d3c6092fd499ed",Conference Paper,Scopus
"Corcella L., Manca M., Paternò F., Santoro C.","A visual tool for analysing IoT trigger/action programming",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-030-05909-5_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059942503&doi=10.1007%2f978-3-030-05909-5_11&partnerID=40&md5=da124752d429c805ffe0250b7df4539c",Conference Paper,Scopus
"Briggs J., Embrey M., Maliqi B., Hedman L., Requejo J.","How to assure access of essential RMNCH medicines by looking at policy and systems factors: An analysis of countdown to 2015 countries 11 Medical and Health Sciences 1117 Public Health and Health Services 14 Economics 1402 Applied Economics",2018,"BMC Health Services Research","10.1186/s12913-018-3766-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058113909&doi=10.1186%2fs12913-018-3766-6&partnerID=40&md5=8612007d4d0df7742ec0182ea9a38247",Article,Scopus
"Liu J., Li C., Xu J., Wu H.","A patient-oriented clinical decision support system for CRC risk assessment and preventative care",2018,"BMC Medical Informatics and Decision Making","10.1186/s12911-018-0691-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058023635&doi=10.1186%2fs12911-018-0691-x&partnerID=40&md5=de9aa9f863ec7fd546c3cc75db831583",Article,Scopus
"Weggelaar-Jansen A.M.J.W.M., Broekharst D.S.E., De Bruijne M.","Developing a hospital-wide quality and safety dashboard: A qualitative research study",2018,"BMJ Quality and Safety","10.1136/bmjqs-2018-007784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049233641&doi=10.1136%2fbmjqs-2018-007784&partnerID=40&md5=83c4266c34c696037249a66ab01a4632",Article,Scopus
"Vilarinho S., Lopes I., Sousa S.","Developing dashboards for SMEs to improve performance of productive equipment and processes",2018,"Journal of Industrial Information Integration","10.1016/j.jii.2018.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044937543&doi=10.1016%2fj.jii.2018.02.003&partnerID=40&md5=3ce4c9c2197dbb4809654da48fbabea4",Article,Scopus
"Ernadote D.","A framework for descriptive models quality assessment",2018,"4th IEEE International Symposium on Systems Engineering, ISSE 2018 - Proceedings","10.1109/SysEng.2018.8544381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059972996&doi=10.1109%2fSysEng.2018.8544381&partnerID=40&md5=fa4ed9a86979293330af6056ae0b38ef",Conference Paper,Scopus
"Johansen A., Kjærgaard M.B.","Demo abstract: FloorViz - A bricked dashboard",2018,"BuildSys 2018 - Proceedings of the 5th Conference on Systems for Built Environments","10.1145/3276774.3281014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058373538&doi=10.1145%2f3276774.3281014&partnerID=40&md5=f9b6d8dfe1c23ac2b653e1503d046330",Conference Paper,Scopus
