Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
"Integrated model-driven dashboard development";"Information Systems Frontiers";"";"9";"2 - 3";"10.1007/s10796-007-9032-9";"Themis PalpanasPawan ChowdharyGeorge MihailaFlorian Pinel";"2007";"http://link.springer.com/article/10.1007/s10796-007-9032-9";"Article"
"Application of Domain Engineering to Generate Customized Information Dashboards";"Learning and Collaboration Technologies. Learning and Teaching";"";"";"";"10.1007/978-3-319-91152-6_40";"Andrea Vázquez-IngelmoFrancisco J. García-PeñalvoRoberto Therón";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-91152-6_40";"Chapter"
"Constructing a Design Framework for Performance Dashboards";"Nordic Contributions in IS Research";"";"";"";"10.1007/978-3-642-32270-9_7";"Heikki Lempinen";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-32270-9_7";"Chapter"
"Dashboard Display of Solar Weather";"Handbook of Cosmic Hazards and Planetary Defense";"";"";"";"10.1007/978-3-319-03952-7_32";"Su-Yin Tan";"2015";"http://link.springer.com/referenceworkentry/10.1007/978-3-319-03952-7_32";"ReferenceWorkEntry"
"Dashboard Display of Solar Weather";"Handbook of Cosmic Hazards and Planetary Defense";"";"";"";"10.1007/978-3-319-02847-7_32-1";"Su-Yin Tan";"2014";"http://link.springer.com/referenceworkentry/10.1007/978-3-319-02847-7_32-1";"ReferenceWorkEntry"
"Experiment Dashboard for Monitoring Computing Activities of the LHC Virtual Organizations";"Journal of Grid Computing";"";"8";"2";"10.1007/s10723-010-9148-x";"Julia AndreevaMax BoehmBenjamin GaidiozEdward KaravakisLukasz KokoszkiewiczElisa LanciottiGerhild MaierWilliam OllivierRicardo RochaPablo SaizIrina Sidorova";"2010";"http://link.springer.com/article/10.1007/s10723-010-9148-x";"Article"
"Exploration Views: Understanding Dashboard Creation and Customization for Visualization Novices";"Human-Computer Interaction – INTERACT 2011";"";"";"";"10.1007/978-3-642-23768-3_23";"Micheline EliasAnastasia Bezerianos";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-23768-3_23";"Chapter"
"A Customisable Dashboard Display for Environmental Performance Visualisations";"Persuasive Technology";"";"";"";"10.1007/978-3-642-37157-8_8";"Daniel FilonikRichard MedlandMarcus FothMarkus Rittenbruch";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-37157-8_8";"Chapter"
"Decision-Making Support in Engineering Design Based on Collaborative Dashboards: Integration of Business Intelligence Techniques";"Research into Design for Communities, Volume 1";"";"";"";"10.1007/978-981-10-3518-0_88";"Ahmed FradiMatthieu BricogneMagali Bosch-MauchandBorhen LouhichiBenoît Eynard";"2017";"http://link.springer.com/chapter/10.1007/978-981-10-3518-0_88";"Chapter"
"Urban Smart Dashboard. Measuring Smart City Performance";"Smart City Implementation";"";"";"";"10.1007/978-3-319-45766-6_4";"Renata Paola Dameri";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-45766-6_4";"Chapter"
"Interactive Dashboard for Workflow Engine Benchmarks";"Advances in Service-Oriented and Cloud Computing";"";"";"";"10.1007/978-3-319-72125-5_14";"David BimamisaMathias MüllerSimon HarrerGuido Wirtz";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-72125-5_14";"Chapter"
"Overcoming the MOOC Data Deluge with Learning Analytic Dashboards";"Learning Analytics: Fundaments, Applications, and Trends";"";"";"";"10.1007/978-3-319-52977-6_6";"Lorenzo VigentiniAndrew ClayphanXia ZhangMahsa Chitsaz";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-52977-6_6";"Chapter"
"Towards application driven security dashboards in future middleware";"Journal of Internet Services and Applications";"";"3";"1";"10.1007/s13174-011-0047-6";"Wouter JoosenBert LagaisseEddy TruyenKoen Handekyn";"2012";"http://link.springer.com/article/10.1007/s13174-011-0047-6";"Article"
"From Data to City Indicators: A Knowledge Graph for Supporting Automatic Generation of Dashboards";"The Semantic Web";"";"";"";"10.1007/978-3-319-58451-5_7";"Henrique SantosVictor DantasVasco FurtadoPaulo PinheiroDeborah L. McGuinness";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58451-5_7";"Chapter"
"Dashboards and Reporting Solutions";"SharePoint 2010 User’s Guide";"";"";"";"10.1007/978-1-4302-2764-9_13";"Seth BatesTony Smith";"2010";"http://link.springer.com/chapter/10.1007/978-1-4302-2764-9_13";"Chapter"
"Designing configurable automotive dashboards on liquid crystal displays";"Cognition, Technology & Work";"";"6";"4";"10.1007/s10111-004-0163-1";"F BellottiA De GloriaA PoggiL AndreoneS DamianiP Knoll";"2004";"http://link.springer.com/article/10.1007/s10111-004-0163-1";"Article"
"A Novel Concept for a Collaborative Dashboarding Framework";"Advances in Human Factors and Systems Interaction";"";"";"";"10.1007/978-3-319-60366-7_3";"Sebastian SchöffelGreg WeibellJohannes Schwank";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-60366-7_3";"Chapter"
"Measuring Performance in Hospitals: The Development of an Operational Dashboard to Coordinate and Optimize Patient, Material and Information Flows";"Boundaryless Hospital";"";"";"";"10.1007/978-3-662-49012-9_9";"Kaat De PourcqPaul GemmelJeroen Trybou";"2016";"http://link.springer.com/chapter/10.1007/978-3-662-49012-9_9";"Chapter"
"Flying Blind: Using a Digital Dashboard to Navigate a Complex PACS Environment";"Journal of Digital Imaging";"";"19";"1";"10.1007/s10278-005-8732-2";"Matthew B. Morgan M.D.Barton F. Branstetter IV M.D.Jonathan Mates M.D.Paul J. Chang M.D.";"2006";"http://link.springer.com/article/10.1007/s10278-005-8732-2";"Article"
"A Dashboard to Regulate Project-Based Learning";"21st Century Learning for 21st Century Skills";"";"";"";"10.1007/978-3-642-33263-0_20";"Christine MichelElise LavouéLaurent Pietrac";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-33263-0_20";"Chapter"
"Semantic-Guided Communication and Composition in a Widget/Dashboard Environment";"Current Trends in Web Engineering";"";"";"";"10.1007/978-3-319-04244-2_3";"Peter WehnerRobert Krüger";"2013";"http://link.springer.com/chapter/10.1007/978-3-319-04244-2_3";"Chapter"
"Usability of Performance Dashboards, Usefulness of Operational and Tactical Support, and Quality of Strategic Support: A Research Framework";"Human Interface and the Management of Information. Information and Interaction for Health, Safety, Mobility and Complex Environments";"";"";"";"10.1007/978-3-642-39215-3_14";"Bih-Ru LeaFiona Fui-Hoon Nah";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39215-3_14";"Chapter"
"Microsoft Platform Components for Dashboards";"Pro SQL Server 2008 Analytics";"";"";"";"10.1007/978-1-4302-1929-3_4";"";"2009";"http://link.springer.com/chapter/10.1007/978-1-4302-1929-3_4";"Chapter"
"Give Me a Customizable Dashboard: Personalized Learning Analytics Dashboards in Higher Education";"Technology, Knowledge and Learning";"";"22";"3";"10.1007/s10758-017-9316-1";"Lynne D. RobertsJoel A. HowellKristen Seaman";"2017";"http://link.springer.com/article/10.1007/s10758-017-9316-1";"Article"
"Do Distracting Dashboards Matter? Evidence from an Eye Tracking Study";"Information Systems: Education, Applications, Research";"";"";"";"10.1007/978-3-319-11373-9_6";"Palash Bera";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-11373-9_6";"Chapter"
"Dashboards and Reporting";"DevOps on the Microsoft Stack";"";"";"";"10.1007/978-1-4842-1446-6_6";"Wouter de Kort";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1446-6_6";"Chapter"
"Dashboard Systems: Implementing Pharmacometrics from Bench to Bedside";"The AAPS Journal";"";"16";"5";"10.1208/s12248-014-9632-5";"Diane R. MouldRichard N. UptonJessica Wojciechowski";"2014";"http://link.springer.com/article/10.1208/s12248-014-9632-5";"Article"
"Dashboards";"Social Media Analytics Strategy";"";"";"";"10.1007/978-1-4842-3102-9_12";"Alex Gonçalves";"2017";"http://link.springer.com/chapter/10.1007/978-1-4842-3102-9_12";"Chapter"
"Dashboards and Reports";"Pro PerformancePoint Server 2007";"";"";"";"10.1007/978-1-4302-0588-3_12";"";"2008";"http://link.springer.com/chapter/10.1007/978-1-4302-0588-3_12";"Chapter"
"Generation of Test Samples for Construction of Dashboard Design Guidelines: Impact of Color on Layout Balance";"Trends and Advances in Information Systems and Technologies";"";"";"";"10.1007/978-3-319-77712-2_93";"Olena PastushenkoJiří HynekTomáš Hruška";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-77712-2_93";"Chapter"
"SAP OEE Dashboard";"Manufacturing Performance Management using SAP OEE";"";"";"";"10.1007/978-1-4842-1150-2_6";"Dipankar SahaMahalakshmi SyamsunderSumanta Chakraborty";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1150-2_6";"Chapter"
"Mac OS X Dashboard";"Pro Web Gadgets";"";"";"";"10.1007/978-1-4302-2552-2_7";"";"2009";"http://link.springer.com/chapter/10.1007/978-1-4302-2552-2_7";"Chapter"
"Digital dashboards: A tool for managing the effectiveness of digital marketing and integrated marketing communication (IMC)";"How to Measure Digital Marketing";"";"";"";"10.1057/9781137340696_8";"Laurent Florès";"2014";"http://link.springer.com/chapter/10.1057/9781137340696_8";"Chapter"
"On the Design of Compliance Governance Dashboards for Effective Compliance and Audit Management";"Service-Oriented Computing. ICSOC/ServiceWave 2009 Workshops";"";"";"";"10.1007/978-3-642-16132-2_20";"Patrícia SilveiraCarlos RodríguezFabio CasatiFlorian DanielVincenzo D’AndreaClaire WorledgeZouhair Taheri";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-16132-2_20";"Chapter"
"Puppet Consoles: Puppet Dashboard and The Foreman";"Pro Puppet";"";"";"";"10.1007/978-1-4302-3058-8_7";"James TurnbullJeffrey McCune";"2011";"http://link.springer.com/chapter/10.1007/978-1-4302-3058-8_7";"Chapter"
"Restructuring Dynamically Analytical Dashboards Based on Usage Profiles";"Foundations of Intelligent Systems";"";"";"";"10.1007/978-3-319-08326-1_45";"Orlando BeloPaulo RodriguesRui BarrosHelena Correia";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-08326-1_45";"Chapter"
"Dynamic Monitoring Dashboards Through Composition of Web and Visualization Services";"Internet of Things. IoT Infrastructures";"";"";"";"10.1007/978-3-319-47075-7_50";"Sofie Van HoeckeCynric HuysOlivier JanssensRuben VerborghRik Van de Walle";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-47075-7_50";"Chapter"
"Teacher Dashboards in Practice: Usage and Impact";"Data Driven Approaches in Digital Education";"";"";"";"10.1007/978-3-319-66610-5_10";"Inge MolenaarCarolien Knoop-van Campen";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-66610-5_10";"Chapter"
"Using Dashboards to Reach Acceptable Risk in Statistics Data Centers Through Risk Assessment and Impact";"Engineering and Management of Data Centers";"";"";"";"10.1007/978-3-319-65082-1_3";"Atif AminRaul Valverde";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-65082-1_3";"Chapter"
"Design and Development of the CEM-Dashboard: A Diagnostic Tool to Determine Your Current Position and Improvement Directions in Customer Experience Management";"Customization 4.0";"";"";"";"10.1007/978-3-319-77556-2_25";"Marcel WeberArend Hofsink";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-77556-2_25";"Chapter"
"Demo: Dynamic Generation of Adaptive Real-Time Dashboards for Continuous Data Stream Processing";"Enabling Real-Time Business Intelligence";"";"";"";"10.1007/978-3-662-46839-5_13";"Timo MichelsenMarco GrawunderDennis GeesenH.-Jürgen Appelrath";"2015";"http://link.springer.com/chapter/10.1007/978-3-662-46839-5_13";"Chapter"
"A Dashboard for Lean Companies: A Proposed Model with the Collaboration of Ten Large Italian Enterprises";"Entrepreneurship, Business and Economics - Vol. 1";"";"";"";"10.1007/978-3-319-27570-3_25";"Andrea PayaroAnna Rita Papa";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-27570-3_25";"Chapter"
"A Knowledge Dashboard for Manufacturing Industries";"The Semantic Web: ESWC 2011 Workshops";"";"";"";"10.1007/978-3-642-25953-1_10";"Suvodeep MazumdarAndrea VargaVita LanfranchiDaniela PetrelliFabio Ciravegna";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-25953-1_10";"Chapter"
"An Electronic Dashboard to Monitor Patient Flow at the Johns Hopkins Hospital: Communication of Key Performance Indicators Using the Donabedian Model";"Journal of Medical Systems";"";"42";"8";"10.1007/s10916-018-0988-4";"Diego A. MartinezErin M. KaneMehdi JalalpourJames ScheulenHetal RupaniRohit TotejaCharles BarbaraBree BushScott R. Levin";"2018";"http://link.springer.com/article/10.1007/s10916-018-0988-4";"Article"
"Selecting the Right Visualization of Indicators and Measures – Dashboard Selection Model";"Software Measurement";"";"";"";"10.1007/978-3-319-24285-9_9";"Miroslaw StaronKent NieselWilhelm Meding";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-24285-9_9";"Chapter"
"The Engineering Manager’s Dashboard";"Agile Software Development with HP Agile Manager";"";"";"";"10.1007/978-1-4842-1034-5_6";"Liran Tal";"2015";"http://link.springer.com/chapter/10.1007/978-1-4842-1034-5_6";"Chapter"
"DDART, a Dynamic Dashboard for Collection, Analysis and Visualization of Activity and Reporting Traces";"Open Learning and Teaching in Educational Communities";"";"";"";"10.1007/978-3-319-11200-8_39";"Min JiChristine MichelÉlise LavouéSébastien George";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-11200-8_39";"Chapter"
"The CompTox Chemistry Dashboard: a community data resource for environmental chemistry";"Journal of Cheminformatics";"";"9";"1";"10.1186/s13321-017-0247-6";"Antony J. WilliamsChristopher M. GrulkeJeff EdwardsAndrew D. McEachranKamel MansouriNancy C. BakerGrace PatlewiczImran ShahJohn F. WambaughRichard S. JudsonAnn M. Richard";"2017";"http://link.springer.com/article/10.1186/s13321-017-0247-6";"Article"
"SOCR data dashboard: an integrated big data archive mashing medicare, labor, census and econometric information";"Journal of Big Data";"";"2";"1";"10.1186/s40537-015-0018-z";"Syed S HusainAlexandr KalininAnh TruongIvo D Dinov";"2015";"http://link.springer.com/article/10.1186/s40537-015-0018-z";"Article"
"PrivacyInsight: The Next Generation Privacy Dashboard";"Privacy Technologies and Policy";"";"";"";"10.1007/978-3-319-44760-5_9";"Christoph BierKay KühneJürgen Beyerer";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-44760-5_9";"Chapter"
"Towards User Interface Components for Dashboard Applications on Smartphones";"Mobile Computing, Applications, and Services";"";"";"";"10.1007/978-3-319-05452-0_2";"Marcus HomannVassilena BanovaPaul OelbermannHolger WittgesHelmut Krcmar";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-05452-0_2";"Chapter"
"Business Intelligence Dashboard Application for Insurance Cross Selling";"Information Technology - New Generations";"";"";"";"10.1007/978-3-319-77028-4_56";"Jagan Mohan NarraDoina BeinVlad Popa";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-77028-4_56";"Chapter"
"Implementing Dashboard-Style Report Objects";"Pro SQL Server 2012 Reporting Services";"";"";"";"10.1007/978-1-4302-3811-9_5";"Brian McDonaldShawn McGeheeRodney Landrum";"2012";"http://link.springer.com/chapter/10.1007/978-1-4302-3811-9_5";"Chapter"
"Dashboard and Stories";"Pro Tableau";"";"";"";"10.1007/978-1-4842-2352-9_10";"Seema AcharyaSubhashini Chellappan";"2017";"http://link.springer.com/chapter/10.1007/978-1-4842-2352-9_10";"Chapter"
"Management Dashboard zur geschäftsmodellbasierten Steuerung";"Geschäftsmodellbasierte Unternehmenssteuerung mit Business-Intelligence-Technologien";"";"";"";"10.1007/978-3-658-11801-3_4";"Markus Linden";"2016";"http://link.springer.com/chapter/10.1007/978-3-658-11801-3_4";"Chapter"
"Dashboard and Settings";"Beginning WordPress 3";"";"";"";"10.1007/978-1-4302-2896-7_3";"";"2009";"http://link.springer.com/chapter/10.1007/978-1-4302-2896-7_3";"Chapter"
"Effects of a Teacher Dashboard for an Intelligent Tutoring System on Teacher Knowledge, Lesson Planning, Lessons and Student Learning";"Data Driven Approaches in Digital Education";"";"";"";"10.1007/978-3-319-66610-5_23";"Françeska XhakajVincent AlevenBruce M. McLaren";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-66610-5_23";"Chapter"
"Creating an Interactive Gantt Chart Dashboard";"Dashboards for Excel";"";"";"";"10.1007/978-1-4302-4945-0_13";"Jordan GoldmeierPurnachandra Duggirala";"2015";"http://link.springer.com/chapter/10.1007/978-1-4302-4945-0_13";"Chapter"
"Evaluating Student-Facing Learning Dashboards of Affective States";"Data Driven Approaches in Digital Education";"";"";"";"10.1007/978-3-319-66610-5_17";"Gayane SedrakyanDerick LeonyPedro J. Muñoz-MerinoCarlos Delgado KloosKatrien Verbert";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-66610-5_17";"Chapter"
"Learning dashboards: an overview and future research opportunities";"Personal and Ubiquitous Computing";"";"18";"6";"10.1007/s00779-013-0751-2";"Katrien VerbertSten GovaertsErik DuvalJose Luis SantosFrans Van AsscheGonzalo ParraJoris Klerkx";"2014";"http://link.springer.com/article/10.1007/s00779-013-0751-2";"Article"
"Designing and Evaluating Dashboards for Multi-agency Crisis Preparation: A Living Lab";"Electronic Government";"";"";"";"10.1007/978-3-642-14799-9_16";"Nitesh BharosaMarijn JanssenSebastiaan MeijerFritjof Brave";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-14799-9_16";"Chapter"
"Performance Dashboard";"Pro Apache JMeter";"";"";"";"10.1007/978-1-4842-2961-3_12";"Sai MatamJagdeep Jain";"2017";"http://link.springer.com/chapter/10.1007/978-1-4842-2961-3_12";"Chapter"
"Software Tools and Dashboards";"Customer Relationship Management";"";"";"";"10.1007/978-3-662-55381-7_9";"V. KumarWerner Reinartz";"2018";"http://link.springer.com/chapter/10.1007/978-3-662-55381-7_9";"Chapter"
"Development and Implementation of Dashboards for Operational Monitoring Using Participatory Design in a Lean Context";"Computer Supported Qualitative Research";"";"";"";"10.1007/978-3-319-61121-1_21";"Andreia Filipa MartinsAnabela C. AlvesCelina P. Leão";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-61121-1_21";"Chapter"
"The Design of an Identity and Access Management Assurance Dashboard Model";"Research and Practical Issues of Enterprise Information Systems";"";"";"";"10.1007/978-3-319-99040-8_10";"Ferdinand DamonMarijke Coetzee";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-99040-8_10";"Chapter"
"A Learning Dashboard to Monitor an Open Networked Learning Community";"Open Networked 'i-Learning'";"";"";"";"10.1007/978-1-4419-6854-8_5";"Francesca GrippaGiustina SecundoMarco De Maggio";"2010";"http://link.springer.com/chapter/10.1007/978-1-4419-6854-8_5";"Chapter"
"Riding the Technology Wave: Effective Dashboard Data Visualization";"Human Interface and the Management of Information. Interacting with Information";"";"";"";"10.1007/978-3-642-21793-7_29";"Lisa PappasLisa Whitman";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-21793-7_29";"Chapter"
"Awareness Is Not Enough: Pitfalls of Learning Analytics Dashboards in the Educational Practice";"Data Driven Approaches in Digital Education";"";"";"";"10.1007/978-3-319-66610-5_7";"Ioana JivetMaren ScheffelHendrik DrachslerMarcus Specht";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-66610-5_7";"Chapter"
"Marketing Dashboards";"Marketing Analytics Roadmap";"";"";"";"10.1007/978-1-4842-0259-3_7";"Jerry Rackley";"2015";"http://link.springer.com/chapter/10.1007/978-1-4842-0259-3_7";"Chapter"
"Lightning Reports and Dashboards";"Learn Salesforce Lightning";"";"";"";"10.1007/978-1-4842-2994-1_5";"Felicia DuarteRachelle Hoffman";"2018";"http://link.springer.com/chapter/10.1007/978-1-4842-2994-1_5";"Chapter"
"Interactive Design of Digital Car Dashboard Interfaces";"Digital Human Modeling. Applications in Health, Safety, Ergonomics, and Risk Management: Health and Safety";"";"";"";"10.1007/978-3-319-58466-9_31";"Rui LiQing-Xing QuZhangping Lu";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58466-9_31";"Chapter"
"Software Tools and Dashboards";"Customer Relationship Management";"";"";"";"10.1007/978-3-642-20110-3_9";"Prof. V. KumarWerner Reinartz";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-20110-3_9";"Chapter"
"Executive Dashboard";"Cloud Computing Using Oracle Application Express";"";"";"";"10.1007/978-1-4842-2502-8_29";"Riaz Ahmed";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-2502-8_29";"Chapter"
"Effects of learning analytics dashboard: analyzing the relations among dashboard utilization, satisfaction, and learning achievement";"Asia Pacific Education Review";"";"17";"1";"10.1007/s12564-015-9403-8";"Jeonghyun KimIl-Hyun JoYeonjeong Park";"2016";"http://link.springer.com/article/10.1007/s12564-015-9403-8";"Article"
"Creating Effective Learning Analytics Dashboards: Lessons Learnt";"Adaptive and Adaptable Learning";"";"";"";"10.1007/978-3-319-45153-4_4";"Sven CharleerJoris KlerkxErik DuvalTinne De LaetKatrien Verbert";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-45153-4_4";"Chapter"
"Development of a Dashboard for Learning Analytics in Higher Education";"Learning and Collaboration Technologies. Technology in Education";"";"";"";"10.1007/978-3-319-58515-4_23";"Philipp LeitnerMartin Ebner";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58515-4_23";"Chapter"
"Enhancing Dashboards";"Pro Power BI Desktop";"";"";"";"10.1007/978-1-4842-3210-1_22";"Adam Aspin";"2018";"http://link.springer.com/chapter/10.1007/978-1-4842-3210-1_22";"Chapter"
"Benefit–Risk Monitoring of Vaccines Using an Interactive Dashboard: A Methodological Proposal from the ADVANCE Project";"Drug Safety";"";"41";"8";"10.1007/s40264-018-0658-y";"Kaatje BollaertsTom De SmedtKatherine DoneganLina TitievskyVincent Bauchau";"2018";"http://link.springer.com/article/10.1007/s40264-018-0658-y";"Article"
"Assembling Dashboards and Presentations";"Business Intelligence with SQL Server Reporting Services";"";"";"";"10.1007/978-1-4842-0532-7_7";"Adam Aspin";"2015";"http://link.springer.com/chapter/10.1007/978-1-4842-0532-7_7";"Chapter"
"Designing a GDPR-Compliant and Usable Privacy Dashboard";"Privacy and Identity Management. The Smart Revolution";"";"";"";"10.1007/978-3-319-92925-5_14";"Philip RaschkeAxel KüpperOlha DrozdSabrina Kirrane";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-92925-5_14";"Chapter"
"Study of Chinese City “Portrait” Based on Data Visualization: Take City Dashboard for Example";"Design, User Experience, and Usability: Designing Interactions";"";"";"";"10.1007/978-3-319-91803-7_26";"Xueting TongZhanwei Wu";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-91803-7_26";"Chapter"
"Dashboard and Settings";"WordPress for Web Developers";"";"";"";"10.1007/978-1-4302-5867-4_3";"Stephanie Leary";"2013";"http://link.springer.com/chapter/10.1007/978-1-4302-5867-4_3";"Chapter"
"Making Social Media Activity Analytics Intelligible for Oneself and for Others: A “Boundary Object” Approach to Dashboard Design";"Human Interface and the Management of Information: Information, Knowledge and Interaction Design";"";"";"";"10.1007/978-3-319-58521-5_8";"François Lambotte";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58521-5_8";"Chapter"
"Personal Federation Control with the Identity Dashboard";"Policies and Research in Identity Management";"";"";"";"10.1007/978-3-642-17303-5_7";"Jonathan ScudderAudun Jøsang";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-17303-5_7";"Chapter"
"The Radiology Digital Dashboard: Effects on Report Turnaround Time";"Journal of Digital Imaging";"";"21";"1";"10.1007/s10278-007-9008-9";"Matthew B. MorganBarton F. Branstetter IVDavid M. LionettiJeremy S. RichardsonPaul J. Chang";"2008";"http://link.springer.com/article/10.1007/s10278-007-9008-9";"Article"
"Educational Dashboards for Smart Learning: Review of Case Studies";"Emerging Issues in Smart Learning";"";"";"";"10.1007/978-3-662-44188-6_21";"Yesom YooHyeyun LeeIl-Hyun JoYeonjeong Park";"2015";"http://link.springer.com/chapter/10.1007/978-3-662-44188-6_21";"Chapter"
"Personal dashboard en professioneel netwerk gecombineerd";"SynthesHis";"";"10";"3";"10.1007/s12494-011-0048-z";"Gerda Mensink";"2011";"http://link.springer.com/article/10.1007/s12494-011-0048-z";"Article"
"Exploring Large Stereoscopic 3D Dashboards for Future Automotive User Interfaces";"Advances in Human Aspects of Transportation";"";"";"";"10.1007/978-3-319-93885-1_45";"Florian WeidnerWolfgang Broll";"2019";"http://link.springer.com/chapter/10.1007/978-3-319-93885-1_45";"Chapter"
"Geospatial Digital Dashboard for Exploratory Visual Analytics";"Information Search, Integration, and Personalization";"";"";"";"10.1007/978-3-319-08732-0_1";"Jonas SjöberghYuzuru Tanaka";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-08732-0_1";"Chapter"
"The Elements of Good Excel Dashboards and Decision Support Systems";"Dashboards for Excel";"";"";"";"10.1007/978-1-4302-4945-0_8";"Jordan GoldmeierPurnachandra Duggirala";"2015";"http://link.springer.com/chapter/10.1007/978-1-4302-4945-0_8";"Chapter"
"Design of a clinician dashboard to facilitate co-decision making in the management of non-specific low back pain";"Journal of Intelligent Information Systems";"";"";"";"10.1007/s10844-018-0539-y";"Kerstin BachCindy MarlingPaul Jarle MorkAgnar AamodtFrances S. MairBarbara I. Nicholl";"2018";"http://link.springer.com/article/10.1007/s10844-018-0539-y";"Article"
"Visualize and Monitor Shared Services Quality by a Corporate Dashboard";"Finance Bundling and Finance Transformation";"";"";"";"10.1007/978-3-658-00373-9_11";"Oliver Wolf";"2013";"http://link.springer.com/chapter/10.1007/978-3-658-00373-9_11";"Chapter"
"Introduction to Dashboard and Decision Support Development";"Dashboards for Excel";"";"";"";"10.1007/978-1-4302-4945-0_1";"Jordan GoldmeierPurnachandra Duggirala";"2015";"http://link.springer.com/chapter/10.1007/978-1-4302-4945-0_1";"Chapter"
"Dashboard";"Encyclopedia of Big Data";"";"";"";"10.1007/978-3-319-32001-4_295-1";"Christopher PettitSimone Z Leao";"2017";"http://link.springer.com/referenceworkentry/10.1007/978-3-319-32001-4_295-1";"ReferenceWorkEntry"
"Student Facing Dashboards: One Size Fits All?";"Technology, Knowledge and Learning";"";"22";"3";"10.1007/s10758-017-9314-3";"Stephanie D. Teasley";"2017";"http://link.springer.com/article/10.1007/s10758-017-9314-3";"Article"
"Military Vehicle Dashboard Design Using Semantics Method in Cognitive Ergonomics Framework";"Engineering Psychology and Cognitive Ergonomics";"";"";"";"10.1007/978-3-319-20373-7_15";"Billy Muhamad IqbalAmalia SuziantiBoy Nurtjahyo";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-20373-7_15";"Chapter"
"Pharmacokinetic Dashboard-Recommended Dosing Is Different than Standard of Care Dosing in Infliximab-Treated Pediatric IBD Patients";"The AAPS Journal";"";"19";"1";"10.1208/s12248-016-9994-y";"Marla C. DubinskyBecky L. PhanNamita SinghShervin RabizadehDiane R. Mould";"2017";"http://link.springer.com/article/10.1208/s12248-016-9994-y";"Article"
