Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;INSPEC Controlled Terms;INSPEC Non-Controlled Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier;;;;;;;;;;;
Information Dashboards and Tailoring Capabilities - A Systematic Literature Review;"A. Vázquez-Ingelmo; F. J. Garcia-Peñalvo; R. Therón";"Computer Science Department; GRIAL Research Group; Research Institute for Educational Sciences; University of Salamanca; Salamanca; Spain; Computer Science Department; GRIAL Research Group; Research Institute for Educational Sciences; University of Salamanca; Salamanca; Spain; Computer Science Department; GRIAL Research Group; Research Institute for Educational Sciences; University of Salamanca; Salamanca; Spain";IEEE Access;16 Aug 2019;2019;7;;109673;109688;"The design and development of information dashboards are not trivial. Several factors must be accounted; from the data to be displayed to the audience that will use the dashboard. However; the increase in popularity of these tools has extended their use in several and very different contexts among very different user profiles. This popularization has increased the necessity of building tailored displays focused on specific requirements; goals; user roles; situations; domains; etc. Requirements are more sophisticated and varying; thus; dashboards need to match them to enhance knowledge generation and support more complex decision-making processes. This sophistication has led to the proposal of new approaches to address personal requirements and foster individualization regarding dashboards without involving high quantities of resources and long development processes. The goal of this work is to present a systematic review of the literature to analyze and classify the existing dashboard solutions that support tailoring capabilities and the methodologies used to achieve them. The methodology follows the guidelines proposed by Kitchenham and other authors in the field of software engineering. As results; 23 papers about tailored dashboards were retrieved. Three main approaches were identified regarding tailored solutions: customization; personalization; and adaptation. However; there is a wide variety of employed paradigms and features to develop tailored dashboards. The present systematic literature review analyzes challenges and issues regarding the existing solutions. It also identifies new research paths to enhance tailoring capabilities and thus; to improve user experience and insight delivery when it comes to visual analysis.";2169-3536;;10.1109/ACCESS.2019.2933472;"Ministerio de Educación; Cultura y Deporte(grant numbers:FPU17/03276); Ministerio de Economía y Competitividad(grant numbers:TIN2016-80172-R); PROVIDEDH Project; funded within the CHIST-ERA Programme; MINECO; Spain; Ministerio de Economía y Competitividad(grant numbers:PCIN-2017-064); Consejería de Educación; Junta de Castilla y León(grant numbers:SA061P17); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789402;"SLR;systematic literature review;tailoring;custom;personalized;adaptive;information dashboards";"Systematics;Bibliographies;Tools;Visualization;Planning;User experience;Artificial intelligence";"decision making;human computer interaction;information retrieval;software engineering";"information dashboards;tailored displays;user roles;complex decision-making processes;personal requirements;long development processes;tailored dashboards;user experience;user profiles;software engineering;customization;personalization;adaptation;visual analysis";;7;;56;CCBY;6 Aug 2019;;;IEEE;IEEE Journals;;;;;;;;;;;
QualDash: Adaptable Generation of Visualisation Dashboards for Healthcare Quality Improvement;"M. Elshehaly; R. Randell; M. Brehmer; L. McVey; N. Alvarado; C. P. Gale; R. A. Ruddle";"University of Bradford and the Wolfson Centre for Applied Health Research; UK; University of Bradford and the Wolfson Centre for Applied Health Research; UK; Tableau; Seattle; Washington; United States; University of Bradford and the Wolfson Centre for Applied Health Research; UK; University of Bradford and the Wolfson Centre for Applied Health Research; UK; University of Leeds; UK; University of Leeds; UK";IEEE Transactions on Visualization and Computer Graphics;28 Jan 2021;2021;27;2;689;699;"Adapting dashboard design to different contexts of use is an open question in visualisation research. Dashboard designers often seek to strike a balance between dashboard adaptability and ease-of-use; and in hospitals challenges arise from the vast diversity of key metrics; data models and users involved at different organizational levels. In this design study; we present QualDash; a dashboard generation engine that allows for the dynamic configuration and deployment of visualisation dashboards for healthcare quality improvement (QI). We present a rigorous task analysis based on interviews with healthcare professionals; a co-design workshop and a series of one-on-one meetings with front line analysts. From these activities we define a metric card metaphor as a unit of visual analysis in healthcare QI; using this concept as a building block for generating highly adaptable dashboards; and leading to the design of a Metric Specification Structure (MSS). Each MSS is a JSON structure which enables dashboard authors to concisely configure unit-specific variants of a metric card; while offloading common patterns that are shared across cards to be preset by the engine. We reflect on deploying and iterating the design of OualDash in cardiology wards and pediatric intensive care units of five NHS hospitals. Finally; we report evaluation results that demonstrate the adaptability; ease-of-use and usefulness of QualDash in a real-world scenario.";1941-0506;;10.1109/TVCG.2020.3030424;"National Institute for Health Research (NIHR); Health Services and Delivery Research Programme(grant numbers:16/04/06); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222315;"Information visualisation;task analysis;co-design;dashboards;design study;healthcare";"Task analysis;Measurement;Hospitals;Data visualization;Interviews;Conferences";"data visualisation;health care;hospitals;medical information systems;paediatrics;patient care;task analysis";"visualisation dashboards;healthcare quality improvement;task analysis;healthcare professionals;metric card metaphor;healthcare QI;highly adaptable dashboards;metric specification structure;dashboard authors;concisely configure unit-specific variants;QualDash;adaptable generation;dashboard design;visualisation research;dashboard designers;dashboard adaptability;organizational levels;dashboard generation engine;dynamic configuration;codesign workshop";;2;;58;IEEE;13-oct-20;;;IEEE;IEEE Journals;;;;;;;;;;;
Declarative Dashboard Generation;"A. Tundo; C. Castelnovo; M. Mobilio; O. Riganelli; L. Mariani";"University of Milano - Bicocca;Milan;Italy; University of Milano - Bicocca;Milan;Italy; University of Milano - Bicocca;Milan;Italy; University of Milano - Bicocca;Milan;Italy; University of Milano - Bicocca;Milan;Italy";2020 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW);4 Jan 2021;2020;;;215;218;"Systems of systems are highly dynamic software systems that require flexible monitoring solutions to be observed and controlled. Indeed; operators have to frequently adapt the set of collected indicators according to changing circumstances; to visualize the behavior of the monitored systems and timely take actions; if needed. Unfortunately; dashboard systems are still quite cumbersome to configure and adapt to a changing set of indicators that must be visualized. This paper reports our initial effort towards the definition of an automatic dashboard generation process that exploits meta-model layouts to create a full dashboard from a set of indicators selected by operators.";;978-1-7281-7735-9;10.1109/ISSREW51248.2020.00075;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307719;"Monitoring Dashboard;Dashboard generation;Cloud monitoring;SoS monitoring";"Data visualization;Layout;Visualization;Monitoring;Tools;Navigation;Key performance indicator";system monitoring;"dynamic software systems;flexible monitoring;monitored systems;automatic dashboard generation process;declarative dashboard generation;systems of systems;system monitoring;meta-model layouts";;;;18;;4 Jan 2021;;;IEEE;IEEE Conferences;;;;;;;;;;;
Requirement and Quality Models for Privacy Dashboards;"D. Feth; H. Schmitt";Fraunhofer IESE; HK Business Solutions;2020 IEEE 7th International Workshop on Evolving Security & Privacy Requirements Engineering (ESPRE);14-oct-20;2020;;;1;6;"Privacy dashboards provide means for increasing transparency and self-determination for end-users of different systems and domains. However; there is no generic privacy dashboard that fits all needs. Rather; privacy dashboards are domain-dependent and must consider a variety of requirements of the respective domain. Elicitation and balancing of these requirements is essential for establishing privacy dashboards; but is complex and effort-intense. In this respect; various quality characteristics need to be considered which are highly interdependent and partly conflict-ing. In this paper; we present generic requirement and quality models that build a common baseline when developing privacy dashboards for different domains. These models are based on the fact that even domain-specific privacy dashboards share a lot of common problems and characteristics. Our models provide com-panies with a comprehensive framework that supports them in the phases of requirements engineering; planning; and design. We show their applicability in the domain of workplace privacy dashboards; i.e.; privacy dashboards that are used to achieve transparency and self-determination for employees.";;978-1-7281-8346-6;10.1109/ESPRE51200.2020.00006;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223916;"Privacy Dashboards; Requirements Model; Requirements Elicitation; Quality Model; Workplace Privacy";;"business data processing;data privacy;formal specification";"generic privacy dashboard;requirement engineering;quality models;domain-specific privacy dashboards;workplace privacy dashboards;requirement planning;requirement design;requirement elicitation;requirement balancing";;;;25;;14-oct-20;;;IEEE;IEEE Conferences;;;;;;;;;;
Automated dashboard generation for machine tools with OPC UA compatible sensors;"G. A. Topalian-Rivas; J. Wassermann; M. Severengiz; J. Krüger";"Universität Berlin;Industrial Automation Technology Technische;Berlin;Germany; Universität Berlin;Industrial Automation Technology Technische;Berlin;Germany; Universität Berlin;Industrial Automation Technology Technische;Berlin;Germany; Universität Berlin;Industrial Automation Technology Technische;Berlin;Germany";2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);5-oct-20;2020;1;;1009;1012;"Manufacturing processes provide large amounts of data which can be captured with current technology. Monitoring dashboards are visualization tools that help turn these data into knowledge in order to enhance production performance by supporting decision-making processes. However; configuring these dashboards can be a resource and time-consuming task when they must be tailored and customized among the various applications. The scope of this paper is to automate the configuration process of dashboards in order to ease their employment. In this fashion; end-users can experience a more efficient way of implementing monitoring dashboards on different cases. The idea of this work is to develop a dashboard system which provides autoconfiguration and adaptability. To achieve these goals; a modular automation concept is implemented. These features are demonstrated in a proof-of-concept called Automated Monitoring Dashboard (AMD) and its development is presented in this paper.";1946-0759;978-1-7281-8956-7;10.1109/ETFA46521.2020.9212136;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212136;"monitoring dashboard;modular automation;autoconfiguration;OPC UA;Node-RED;Industry 4.0";;"competitive intelligence;customer satisfaction;data visualisation;decision making;machine tools;manufacturing processes";"configuration process;decision-making processes;visualization tools;manufacturing processes;OPC UA compatible sensors;machine tools;Automated dashboard generation;modular automation concept;dashboard system;monitoring dashboards";;;;18;;5-oct-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Lean supply chain and designing a customer-oriented dashboard: the case of an aerospace company;"H. Lanotte; A. Ferreira; P. Brisset";"REGARDS EA 6292; Université de Reims Champagne-Ardenne;Reims Cedex 5106;France;51724; Hutchinson; DPCC;Levallois-Perret;France;92300; Faiveley Transport Amiens;Amiens;France;80080";2020 IEEE 13th International Colloquium of Logistics and Supply Chain Management (LOGISTIQUA);19-feb-21;2020;;;1;7;"This paper focuses on a firm specializing in aeronautical seals; a company of the Hutchinson group. Boosted by one of its main customers; Airbus; this company has offered an innovative approach based on a reflection in terms of a customer-oriented dashboard. This executive dashboard summarizes several data through weekly and monthly indicators and also provides an analysis of causes of delay with a future outlook for service rate and an action plan. On the basis of this experience; offering a wealth of learning opportunities; we show how this company set up this strategic lean management tool to become a proactive supplier. This tool has since been acclaimed and has been the subject of many congratulations from several customers.";2166-7373;978-1-7281-9881-1;10.1109/LOGISTIQUA49782.2020.9353919;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9353919;"Dashboard;KPI;Lean supply chain management;on-time-delivery;aeronautic industry";"Industries;Supply chain management;Supply chains;Companies;Seals;Tools;Reflection";"aerospace industry;customer services;lean production;supply chain management";"aerospace company;monthly indicators;weekly indicators;executive dashboard;main customers;Hutchinson group;aeronautical seals;customer-oriented dashboard;lean supply chain;strategic lean management tool";;;;32;;19-feb-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
A Customizable and Incremental Processing Approach for Learning Analytics;"D. Pérez-Berenguer; M. Kessler; J. García-Molina";"Centro de Producción de Contenidos Digitales; Universidad Politécnica de Cartagena; Murcia; Spain; Centro de Producción de Contenidos Digitales; Universidad Politécnica de Cartagena; Murcia; Spain; Departamento de Informática y Sistemas; Universidad de Murcia; Murcia; Spain";IEEE Access;28-feb-20;2020;8;;36350;36362;"The ability of learning analytics to improve the learning/teaching processes is widely recognized. In this paper; the learning analytics architecture developed at the Digital Content Production Center of the Technical University of Cartagena (Spain) is presented. This architecture contributes to the field of learning analytics in two aspects: it allows for dashboard customization and improves the efficiency of the analysis of learners' interaction data. Events resulting from learners' interaction are captured and stored in Caliper standard format; to be further processed incrementally to allow dashboards to be shown without delay to teachers. Customization is considered a mandatory requirement for learning analytics tools; however; although some proposals have recently been made; a greater research effort in this topic is necessary. In the present work; this requirement is addressed by defining a domain-specific language (DSL) that allows teachers to customize dashboards. This language allows to express indicators (logical expressions) that classify students into different groups depending on their performance level. The paper also shows how our learning analytics approach was evaluated with a course that applies a flipped classroom method; and how it compares to the most relevant related works that have been published.";2169-3536;;10.1109/ACCESS.2020.2975384;"European Commission(grant numbers:2018-1-ES01-KA201-050924); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9004573;"Learning analytics;DSL;model-driven development;custom dashboard;incremental event processing;R~language;Caliper";"DSL;Tools;Data visualization;Computer architecture;Proposals;Data analysis;Standards";"computer aided instruction;educational institutions;teaching";"mandatory requirement;analytics tools;dashboards;learning analytics approach;customizable processing approach;incremental processing approach;learning analytics architecture;Digital Content Production Center;dashboard customization;Caliper standard format;teaching process;Technical University of Cartagena;domain-specific language";;;;38;CCBY;20-feb-20;;;IEEE;IEEE Journals;;;;;;;;;;;
Web application dashboards as a tool for data visualization and enrichment;"M. Holjevac; T. Jakopec";"Faculty of Humanities and Social Sciences;Department of Information Sciences;Osijek;Croatia; Faculty of Humanities and Social Sciences;Department of Information Sciences;Osijek;Croatia";"2020 43rd International Convention on Information; Communication and Electronic Technology (MIPRO)";6-nov-20;2020;;;1740;1745;"Working place of an individual that manages data analysis and data processing can involve one person or a whole team. The tools that can make their job easier; reduce the work hours and ultimately reduce the number of people needed in the team are dashboards of web applications. With the help of dashboards one can manage; analyze and visually monitor their key metrics related to their business or to an individual. There is no universal dashboard to suit every form of business. Equally; there is no universal interface that can be declared as the only suitable solution for all businesses; therefore different dashboards are being developed in different interfaces. Individuals or teams are the users of dashboards. There is a number of dashboard templates for website interfaces that can help developers create their own dashboards for accessible data more easily and quickly. The aim of the paper is to analyze and evaluate various dashboard templates according to the defined criteria in order to demonstrate which template is the most appropriate for a certain domain and field of work. It is expected that the results will help developers with the choice of a dashboard template for their new projects. This paper gives basic guidelines regarding responsive web design and some of the frameworks that can be used to build a responsive web design page. It also briefly describes the CSS Grid. Furthermore; this paper analyzes five different dashboard templates created within four different frameworks and CSS Grid. They were analyzed with five given criteria: the 5 second rule; the inverted pyramid; data visualization; less is more and interactive elements. The results would emphasize the templates created within Bootstrap and Semantic UI because they were not evaluated by any criterion with a score less than 4 out of 5.";2623-8764;978-953-233-099-1;10.23919/MIPRO48935.2020.9245289;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245289;"dashboard;data;visualization;web application";"Web design;Semantics;Data visualization;Tools;Monitoring;Business;Cascading style sheets";"data analysis;data visualisation;Web design";"accessible data;responsive Web design page;dashboard templates;data visualization enrichment;Web application dashboards;data analysis;data processing;universal dashboard;universal interface;CSS grid;inverted pyramid;bootstrap semantic UI";;;;20;;6-nov-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
More Flexible: A Free-Customization Technique Based on Log Visualization;"M. Sun; H. E.; Z. Ou; Y. Chen";Beijing University of Posts and Telecommunications; Beijing University of Posts and Telecommunications; Beijing University of Posts and Telecommunications; Beijing University of Posts and Telecommunications;2020 12th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA);30-mar-20;2020;;;375;381;"This paper proposes a free-customization dashboard technology; which combines data visualization technology with drag-and-drop positioning technology and belongs to the category of user interface design. A minimalist interactive way is designed with data-driven thinking to form a complete log visualization framework finally. This technology not only supports the reposition and free-scaling of subgraphs through drag-and-drop but also uses anti-shake and lazy loading technology for performance optimization during the drag-and-drop process; to greatly improve the performance in the process of free-customization. Based on log data; this technique improves the visual effect of the log. Moreover; the mechanism of absolute positioning pixel value conversion to relative position in this technology guarantees the cross-end adaptive feature; and the customization of the log dashboard is extensible; typesetting flexibility and visual aesthetics.";2157-1481;978-1-7281-7081-7;10.1109/ICMTMA50254.2020.00089;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9050230;"Log visualization;log dashboard;free-custo-mization;drag-and-drop positioning";;"data visualisation;user interfaces";"lazy loading technology;performance optimization;log data;visual effect;absolute positioning pixel value conversion;relative position;log dashboard;visual aesthetics;free-customization dashboard technology;data visualization technology;user interface design;complete log visualization framework;reposition;drag-and-drop process;antishake";;;;15;;30-mar-20;;;IEEE;IEEE Conferences;;;;;;;;
LADV: Deep Learning Assisted Authoring of Dashboard Visualizations From Images and Sketches;"R. Ma; H. Mei; H. Guan; W. Huang; F. Zhang; C. Xin; W. Dai; X. Wen; W. Chen";"Alibaba Group; Hangzhou; China; Alibaba Group; Hangzhou; China; Alibaba Group; Hangzhou; China; Alibaba Group; Hangzhou; China; Senseable City Lab; Massachusetts Institute of Technology; Cambridge; MA; USA; Alibaba Group; Hangzhou; China; Alibaba Group; Hangzhou; China; Alibaba Group; Hangzhou; China; State Key Lab of CAD & CG; Zhejiang University; Hangzhou; China";IEEE Transactions on Visualization and Computer Graphics;29-jul-21;2021;27;9;3717;3732;"Dashboard visualizations are widely used in data-intensive applications such as business intelligence; operation monitoring; and urban planning. However; existing visualization authoring tools are inefficient in the rapid prototyping of dashboards because visualization expertise and user intention need to be integrated. We propose a novel approach to rapid conceptualization that can construct dashboard templates from exemplars to mitigate the burden of designing; implementing; and evaluating dashboard visualizations. The kernel of our approach is a novel deep learning-based model that can identify and locate charts of various categories and extract colors from an input image or sketch. We design and implement a web-based authoring tool for learning; composing; and customizing dashboard visualizations in a cloud computing environment. Examples; user studies; and user feedback from real scenarios in Alibaba Cloud verify the usability and efficiency of the proposed approach.";1941-0506;;10.1109/TVCG.2020.2980227;"National Natural Science Foundation of China(grant numbers:61772456;61761136020;U1609217); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9035622;"Dashboard visualization;visual design;stylization;deep learning-based";"Tools;Data visualization;Image color analysis;Visualization;Layout;Task analysis;Rapid prototyping";"authoring systems;cloud computing;data visualisation;deep learning (artificial intelligence)";"deep learning assisted authoring;data-intensive applications;visualization authoring tools;visualization expertise;dashboard templates;dashboard visualizations;user intention;images;sketches;cloud computing;color extraction;LADV";;;;49;IEEE;13-mar-20;;;IEEE;IEEE Journals;;;;;;;;;;;
