Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Visualizations and Dashboards for Learning Analytics","Advances in Analytics for Learning and Teaching","","","","10.1007/978-3-030-81222-5","Muhittin SahinProf. Dr. Dirk Ifenthaler","2021","http://link.springer.com/book/10.1007/978-3-030-81222-5","Book"
"S3D Dashboard","","","","","10.1007/978-3-658-35147-2","Florian Weidner","2021","http://link.springer.com/book/10.1007/978-3-658-35147-2","Book"
"Connecting domain-specific features to source code: towards the automatization of dashboard generation","Cluster Computing","","23","3","10.1007/s10586-019-03012-1","Andrea Vázquez-IngelmoFrancisco José García-PeñalvoRoberto TherónDaniel Amo FilvàDavid Fonseca Escudero","2020","http://link.springer.com/article/10.1007/s10586-019-03012-1","Article"
"Addressing Fine-Grained Variability in User-Centered Software Product Lines: A Case Study on Dashboards","New Knowledge in Information Systems and Technologies","","","","10.1007/978-3-030-16181-1_80","Andrea Vázquez-IngelmoFrancisco J. García-PeñalvoRoberto Therón","2019","http://link.springer.com/chapter/10.1007/978-3-030-16181-1_80","Chapter"
"Generating Dashboards Using Fine-Grained Components: A Case Study for a PhD Programme","Learning and Collaboration Technologies. Designing, Developing and Deploying Learning Experiences","","","","10.1007/978-3-030-50513-4_23","Andrea Vázquez-IngelmoFrancisco J. García-PeñalvoRoberto Therón","2020","http://link.springer.com/chapter/10.1007/978-3-030-50513-4_23","Chapter"
"Dynamic Dashboards","The Digital Journey of Banking and Insurance, Volume II","","","","10.1007/978-3-030-78829-2_9","Volker LiermannSangmeng Li","2021","http://link.springer.com/chapter/10.1007/978-3-030-78829-2_9","Chapter"
"Reporting: Views, Charts, and Dashboards","Dynamics 365 Essentials","","","","10.1007/978-1-4842-5911-5_10","Sarah Critchley","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5911-5_10","Chapter"
"Evaluating LA Dashboard in Secondary School and Higher Education: Fostering Goal Setting and Students’ Self-Regulation","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_14","Lorenzo VigentiniBrad SwibelGarth Hasler","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_14","Chapter"
"Data-Driven Environmental Management: A Digital Prototype Dashboard to Analyze and Monitor the Precipitation on Susquehanna River Basin","Advances in Data Science and Information Engineering","","","","10.1007/978-3-030-71704-9_61","Siamak AramMaria H. RiveroNikesh K. PahujaRoozbeh SadeghianJoshua L. Ramirez PaulinoMichael MeyerJames Shallenberger","2021","http://link.springer.com/chapter/10.1007/978-3-030-71704-9_61","Chapter"
"A proof-of-concept framework for the preference elicitation and evaluation of health informatics technologies: the online PRESENT patient experience dashboard as a case example","BMC Medical Informatics and Decision Making","","20","1","10.1186/s12911-020-1098-z","Emmanouil MentzakisDaria TkaczCarol Rivas","2020","http://link.springer.com/article/10.1186/s12911-020-1098-z","Article"
